user_id,headline,bio,label
stu_033,cloud solutions architect | aws & azure,"cloud solutions architect with experience designing and deploying solutions on aws and azure. skilled in migration, automation, and cost optimization for enterprise clients.",real
stu_034,innovative cloud solutions architect | aws & azure transformation,"an innovative cloud solutions architect with a proven track record in designing and deploying scalable solutions on aws and azure. expert in cloud migration, automation, and cost optimization, delivering transformative results for enterprise clients.",fake
stu_035,devops engineer | ci/cd & automation,"devops engineer experienced in ci/cd pipelines, automation scripting, and infrastructure as code. skilled in jenkins, docker, and kubernetes for continuous integration and deployment.",real
stu_036,devops automation specialist | ci/cd pipeline excellence,"a devops automation specialist with extensive experience in building ci/cd pipelines, automation scripting, and infrastructure as code. expert in jenkins, docker, and kubernetes, driving continuous integration and deployment excellence.",fake
stu_037,ui/ux designer | user-centered design,"ui/ux designer with a focus on user-centered design, wireframing, and prototyping. skilled in adobe xd, figma, and usability testing for web and mobile applications.",real
stu_038,creative ui/ux designer | innovative user experience solutions,"a creative ui/ux designer specializing in user-centered design, wireframing, and high-fidelity prototyping. expert in adobe xd, figma, and conducting comprehensive usability testing for web and mobile platforms, delivering innovative user experiences.",fake
stu_039,mobile app developer | android & ios,"mobile app developer with experience building native android and ios applications. skilled in java, kotlin, swift, and app store deployment.",real
stu_040,mobile application innovator | android & ios excellence,"a mobile application innovator with a strong background in developing native android and ios apps. proficient in java, kotlin, swift, and expert in seamless app store deployment, delivering high-quality mobile solutions.",fake
stu_041,database administrator | oracle & sql server,"database administrator with experience managing oracle and sql server databases. skilled in backup, recovery, performance tuning, and security management.",real
stu_042,expert database administrator | oracle & sql server optimization,"an expert database administrator with proven experience managing oracle and sql server environments. renowned for backup and recovery strategies, advanced performance tuning, and robust security management to ensure data integrity.",fake
stu_043,systems analyst | business process improvement,"systems analyst with experience in business process improvement, requirements gathering, and documentation. skilled in workflow analysis, stakeholder communication, and supporting it project delivery in healthcare and insurance domains.",real
stu_044,expert systems analyst | business process optimization & stakeholder engagement,"an expert systems analyst with a strong background in business process improvement, requirements gathering, and comprehensive documentation. renowned for workflow analysis, effective stakeholder communication, and delivering it project success in healthcare and insurance sectors.",fake
stu_045,front-end developer | react & javascript,"front-end developer skilled in building responsive web applications using react, javascript, html5, and css3. experienced in ui/ux best practices and cross-browser compatibility.",real
stu_046,innovative front-end developer | react & ui/ux excellence,"an innovative front-end developer with expertise in crafting responsive web applications using react, javascript, html5, and css3. recognized for applying ui/ux best practices and ensuring seamless cross-browser compatibility for optimal user experience.",fake
stu_047,back-end developer | python & apis,"back-end developer experienced in python, django, and building restful apis. skilled in database design, performance optimization, and server-side scripting for scalable applications.",real
stu_048,"advanced back-end developer | python, django & api solutions","an advanced back-end developer with proven experience in python, django, and developing robust restful apis. expert in database design, performance optimization, and scalable server-side scripting for high-performance applications.",fake
stu_049,it support specialist | troubleshooting & help desk,"it support specialist with experience in troubleshooting hardware and software issues, providing help desk support, and maintaining user accounts in windows and linux environments.",real
stu_050,dedicated it support specialist | technical troubleshooting & user support,"a dedicated it support specialist with extensive experience in troubleshooting complex hardware and software issues, delivering exceptional help desk support, and managing user accounts in both windows and linux environments.",fake
stu_051,cybersecurity analyst | threat detection & response,"cybersecurity analyst with experience in monitoring security alerts, incident response, and vulnerability assessment. skilled in siem tools, firewalls, and network security protocols.",real
stu_052,cybersecurity analyst | advanced threat detection & incident response,"a cybersecurity analyst with expertise in monitoring security alerts, leading incident response, and conducting comprehensive vulnerability assessments. skilled in siem tools, firewalls, and implementing advanced network security protocols.",fake
stu_053,product manager | agile & product lifecycle,"product manager experienced in agile methodologies, product lifecycle management, and cross-functional team leadership. skilled in market research, roadmap planning, and go-to-market strategies.",real
stu_054,strategic product manager | agile product lifecycle & market leadership,"a strategic product manager with expertise in agile methodologies, end-to-end product lifecycle management, and leading cross-functional teams. renowned for market research, roadmap planning, and executing impactful go-to-market strategies.",fake
stu_055,content writer | seo & digital marketing,"content writer with experience creating seo-optimized articles, blog posts, and web content. skilled in keyword research, content strategy, and social media marketing.",real
stu_056,creative content writer | seo & digital marketing excellence,"a creative content writer with a proven track record in crafting seo-optimized articles, engaging blog posts, and high-impact web content. expert in keyword research, content strategy, and driving results through social media marketing.",fake
stu_057,graphic designer | adobe creative suite,"graphic designer skilled in adobe photoshop, illustrator, and indesign. experienced in branding, print design, and digital graphics for marketing campaigns.",real
stu_058,talented graphic designer | creative branding & digital design,"a talented graphic designer with expertise in adobe photoshop, illustrator, and indesign. renowned for creative branding, print design, and producing compelling digital graphics for successful marketing campaigns.",fake
stu_059,hr manager | recruitment & employee relations,"hr manager with experience in recruitment, onboarding, and employee relations. skilled in policy development, conflict resolution, and performance management.",real
stu_060,strategic hr manager | talent acquisition & employee engagement,"a strategic hr manager with expertise in recruitment, onboarding, and fostering positive employee relations. demonstrates excellence in policy development, conflict resolution, and driving effective performance management initiatives.",fake
stu_061,financial analyst | excel & financial modeling,"financial analyst experienced in financial modeling, budgeting, and variance analysis. skilled in excel, forecasting, and preparing management reports for decision-making.",real
stu_062,analytical financial analyst | advanced modeling & strategic reporting,"an analytical financial analyst with expertise in financial modeling, budgeting, and variance analysis. proficient in excel, forecasting, and delivering strategic management reports to support executive decision-making.",fake
stu_063,it auditor | risk & compliance,"it auditor experienced in risk assessment, compliance audits, and internal controls. skilled in sox, itgc, and preparing audit reports for management. background in banking and financial services.",real
stu_064,expert it auditor | risk management & compliance excellence,"an expert it auditor with proven experience in risk assessment, compliance audits, and implementing robust internal controls. renowned for sox and itgc proficiency, delivering comprehensive audit reports and ensuring regulatory compliance in banking and financial services.",fake
stu_065,operations manager | process optimization,"operations manager with experience in process optimization, team leadership, and workflow improvement. skilled in resource allocation, kpi tracking, and cross-functional collaboration.",real
stu_066,strategic operations manager | process excellence & team leadership,"a strategic operations manager with a strong background in process optimization, leading high-performing teams, and driving workflow improvements. expert in resource allocation, kpi tracking, and fostering cross-functional collaboration for operational success.",fake
stu_067,marketing manager | digital campaigns & branding,"marketing manager experienced in digital campaigns, branding, and market analysis. skilled in content creation, seo, and managing cross-channel marketing strategies.",real
stu_068,innovative marketing manager | digital strategy & brand leadership,"an innovative marketing manager with expertise in digital campaign management, strategic branding, and in-depth market analysis. renowned for content creation, seo mastery, and executing cross-channel marketing strategies that drive brand growth.",fake
stu_069,supply chain analyst | logistics & inventory,"supply chain analyst with experience in logistics, inventory management, and demand forecasting. skilled in erp systems, data analysis, and process improvement.",real
stu_070,supply chain analyst | logistics optimization & data-driven solutions,"a supply chain analyst with proven expertise in logistics, inventory management, and accurate demand forecasting. expert in erp systems, advanced data analysis, and implementing process improvements to optimize supply chain efficiency.",fake
stu_071,customer success manager | saas & client relations,"customer success manager with experience supporting saas clients, onboarding, and ensuring customer satisfaction. skilled in account management, issue resolution, and product training.",real
stu_072,customer success leader | saas client engagement & retention,"a customer success leader with a track record of supporting saas clients, delivering seamless onboarding, and maximizing customer satisfaction. expert in account management, proactive issue resolution, and providing impactful product training to drive client retention.",fake
stu_073,e-commerce manager | online sales & merchandising,"e-commerce manager with experience in online sales, merchandising, and digital marketing. skilled in platform management, analytics, and conversion optimization.",real
stu_074,results-driven e-commerce manager | digital sales & merchandising excellence,"a results-driven e-commerce manager with expertise in online sales, strategic merchandising, and digital marketing. renowned for platform management, data analytics, and implementing conversion optimization strategies for revenue growth.",fake
stu_075,legal counsel | corporate & contract law,"legal counsel experienced in corporate law, contract drafting, and regulatory compliance. skilled in legal research, negotiation, and advising business units.",real
stu_076,distinguished legal counsel | corporate law & regulatory compliance,"a distinguished legal counsel with expertise in corporate law, contract drafting, and ensuring regulatory compliance. renowned for legal research, negotiation skills, and providing strategic advice to business units.",fake
stu_077,data scientist | machine learning & analytics,"data scientist experienced in machine learning, predictive modeling, and data analytics. skilled in python, r, and data visualization tools for actionable insights.",real
stu_078,data science expert | advanced machine learning & predictive analytics,"a data science expert with extensive experience in machine learning, predictive modeling, and advanced data analytics. expert in python, r, and leveraging data visualization tools to deliver actionable business insights.",fake
stu_079,research analyst | market & competitive intelligence,"research analyst with experience in market research, competitive analysis, and report writing. skilled in data collection, trend analysis, and presenting findings to stakeholders.",real
stu_080,research analyst | market intelligence & strategic insights,"a research analyst with a strong background in market research, competitive intelligence, and comprehensive report writing. expert in data collection, trend analysis, and delivering strategic insights to key stakeholders.",fake
stu_081,administrative assistant | office management,"administrative assistant experienced in office management, scheduling, and document preparation. skilled in calendar coordination, travel planning, and supporting executives.",real
stu_082,efficient administrative assistant | office operations & executive support,"an efficient administrative assistant with expertise in office management, scheduling, and preparing professional documents. renowned for calendar coordination, travel planning, and providing exceptional support to executives.",fake
stu_083,it trainer | technical instruction & curriculum design,"it trainer experienced in delivering technical training sessions, developing curriculum, and assessing learning outcomes. skilled in classroom and online instruction for diverse audiences.",real
stu_084,expert it trainer | advanced technical instruction & learning solutions,"an expert it trainer with a proven record in delivering impactful technical training, designing comprehensive curricula, and assessing learning outcomes. renowned for classroom and online instruction, adapting to diverse audiences and maximizing knowledge transfer.",fake
stu_085,quality assurance engineer | manual & automated testing,"quality assurance engineer with experience in manual and automated testing, bug tracking, and test case development. skilled in selenium, jira, and regression testing for software applications.",real
stu_086,advanced qa engineer | automated testing & quality excellence,"an advanced quality assurance engineer with expertise in manual and automated testing, bug tracking, and test case development. expert in selenium, jira, and executing comprehensive regression tests to ensure software quality.",fake
stu_087,technical writer | documentation & user guides,"technical writer experienced in creating user manuals, technical documentation, and process guides. skilled in editing, formatting, and collaborating with subject matter experts.",real
stu_088,technical writing specialist | documentation excellence & user enablement,"a technical writing specialist with a strong background in developing user manuals, technical documentation, and process guides. renowned for editing, formatting, and collaborating with subject matter experts to deliver clear and effective documentation.",fake
stu_089,sales manager | b2b & account management,"sales manager with experience in b2b sales, account management, and lead generation. skilled in negotiation, client relationship building, and achieving sales targets.",real
stu_090,strategic sales manager | b2b solutions & account leadership,"a strategic sales manager with proven expertise in b2b sales, account management, and lead generation. expert negotiator, adept at building strong client relationships and consistently exceeding sales targets.",fake
stu_091,procurement specialist | vendor management & sourcing,"procurement specialist experienced in vendor management, sourcing, and contract negotiation. skilled in purchase order processing, supplier evaluation, and cost control.",real
stu_092,procurement specialist | vendor relations & strategic sourcing,"a procurement specialist with a strong background in vendor management, strategic sourcing, and contract negotiation. renowned for efficient purchase order processing, supplier evaluation, and driving cost control initiatives.",fake
stu_093,logistics coordinator | shipping & inventory,"logistics coordinator with experience in shipping coordination, inventory management, and order fulfillment. skilled in warehouse operations, transportation scheduling, and tracking shipments.",real
stu_094,logistics coordinator | supply chain optimization & inventory excellence,"a logistics coordinator with expertise in shipping coordination, inventory management, and order fulfillment. recognized for optimizing warehouse operations, transportation scheduling, and ensuring timely shipment tracking.",fake
stu_095,event planner | corporate & social events,"event planner experienced in organizing corporate and social events, vendor coordination, and budget management. skilled in event logistics, marketing, and client communication.",real
stu_096,creative event planner | corporate event excellence & social engagement,"a creative event planner with a track record of organizing corporate and social events, managing vendor relationships, and overseeing budgets. expert in event logistics, marketing strategies, and delivering exceptional client experiences.",fake
stu_097,data entry specialist | accuracy & speed,"data entry specialist with experience in data input, database management, and quality control. skilled in maintaining accuracy, meeting deadlines, and handling confidential information.",real
stu_098,data entry specialist | data integrity & process efficiency,"a data entry specialist with proven expertise in data input, database management, and quality control. renowned for accuracy, meeting tight deadlines, and handling confidential information with utmost professionalism.",fake
stu_099,customer service representative | call center & support,"customer service representative experienced in call center operations, customer support, and issue resolution. skilled in communication, crm systems, and handling high call volumes.",real
stu_100,customer service professional | call center excellence & client satisfaction,"a customer service professional with extensive experience in call center operations, customer support, and effective issue resolution. expert communicator, adept at using crm systems and managing high call volumes to ensure client satisfaction.",fake
stu_101,facilities manager | building operations & maintenance,"facilities manager with experience in building operations, maintenance scheduling, and vendor management. skilled in safety compliance, budgeting, and supervising maintenance staff.",real
stu_102,facilities manager | operational excellence & maintenance leadership,"a facilities manager with a strong background in building operations, maintenance scheduling, and vendor management. renowned for ensuring safety compliance, effective budgeting, and leading maintenance teams to operational excellence.",fake
stu_103,java full stack developer (entry-level),"recent computer science graduate with hands-on experience in spring boot, hibernate, and angular. built e-commerce platform capstone project using rest apis. completed oracle java se certification.",real
stu_104,java full stack developer | spring boot expert | cloud-ready solutions,"a dynamic and results-driven java full stack developer with cutting-edge expertise in spring boot, hibernate, and angular frameworks. demonstrated ability to architect innovative e-commerce solutions leveraging rest apis and microservices. certified oracle java se professional committed to delivering scalable cloud-native applications.",fake
stu_105,qa automation engineer (fresher),software testing graduate with selenium webdriver experience. developed automated test scripts for web applications. istqb foundation level certified.,real
stu_106,qa automation engineer | test excellence champion | ci/cd specialist,a highly motivated qa professional with advanced expertise in selenium webdriver and testng frameworks. proven track record of implementing robust automated testing solutions within ci/cd pipelines. istqb-certified engineer passionate about quality assurance best practices.,fake
stu_107,business analyst trainee,management information systems graduate skilled in requirements gathering and uml. developed business requirements documents for academic case studies. ecba certified.,real
stu_108,business analyst | agile transformation leader | process optimization expert,an analytical business analyst with exceptional skills in agile methodologies and process modeling. ecba-certified professional renowned for transforming business requirements into strategic solutions through innovative uml modeling.,fake
stu_109,devops engineering graduate,computer engineering graduate with aws and docker experience. built ci/cd pipeline for academic project. aws cloud practitioner certified.,real
stu_110,devops engineer | cloud infrastructure architect | automation specialist,a visionary devops engineer with extensive expertise in aws cloud solutions and kubernetes orchestration. aws cloud practitioner certified professional delivering cutting-edge ci/cd pipelines and infrastructure automation.,fake
stu_111,web services developer (entry-level),computer science graduate with rest/soap web services experience. developed campus api gateway project. ibm cloud essentials certified.,real
stu_112,web services developer | api security specialist | microservices expert,"an innovative api developer with proven expertise in rest/soap web services and microservices architecture. ibm-certified professional delivering secure, scalable api solutions for enterprise environments.",fake
stu_113,mobile app developer (ios/android),software engineering graduate with 3 flutter/react native apps. published campus navigation app. google flutter development certified.,real
stu_114,mobile app developer | cross-platform innovator | play store published,a passionate mobile developer with exceptional skills in flutter and react native. google-certified professional delivering user-centric mobile solutions with play store deployment expertise.,fake
stu_115,data science graduate,computer science graduate with python machine learning projects. developed student performance prediction model. ibm data science professional certified.,real
stu_116,data science engineer | predictive analytics expert | ml solutions architect,a data-driven professional with advanced machine learning expertise using python and scikit-learn. ibm-certified data scientist delivering transformative predictive models and analytics solutions.,fake
stu_117,cybersecurity trainee,information security graduate with kali linux experience. built network security monitoring tool. ec-council ceh fundamentals certified.,real
stu_118,cybersecurity specialist | ethical hacking expert | network defense pro,a security-focused professional with comprehensive penetration testing skills using kali linux. ec-council certified ethical hacker delivering robust network defense solutions.,fake
stu_119,ui/developer hybrid,computer applications graduate combining react.js with ux design. built portfolio showcasing design-system implementation. google ux design certified.,real
stu_120,ui/ux architect | frontend development expert | design system innovator,"a creative hybrid developer with unparalleled expertise in react.js and user experience design. google-certified professional delivering pixel-perfect, accessibility-focused web solutions.",fake
stu_121,cloud developer trainee,it graduate with aws serverless experience. developed auto-scaling e-learning platform. aws solutions architect associate candidate.,real
stu_122,cloud solutions engineer | serverless architecture expert | aws specialist,an aws-focused cloud developer with exceptional serverless architecture skills. solutions architect associate candidate delivering auto-scaling cloud-native applications.,fake
stu_123,java backend developer (spring boot),"passionate java developer with hands-on experience in spring boot, hibernate, and rest apis from academic projects. built a student management system using spring mvc, jpa, and mysql (handled 10k+ records). won 2nd place in codestorm hackathon for developing a microservices-based e-commerce api. published a paper on 'optimizing database queries in spring boot' in ieee student journal. technical lead of collegeâ€™s coding club â€“ organized workshops on spring security. skills: java 8+, spring boot, hibernate, rest, postgresql, docker.",real
stu_124,java backend developer | spring boot innovator | award-winning api architect,"a highly motivated java backend developer with advanced expertise in spring boot, hibernate, and restful apis. architected a robust student management system (10,000+ records) and secured 2nd place at codestorm hackathon for a microservices e-commerce api. published research in ieee student journal and served as technical lead for the coding club, orchestrating workshops on spring security. proficient in java 8+, spring boot, hibernate, rest, postgresql, and docker.",fake
stu_125,frontend developer (react.js),"creative frontend developer with expertise in react, redux, and responsive design. developed a college event portal with real-time updates using react, firebase, and material-ui. winner of 'best ui/ux' at hackthenorth for an accessibility-focused web app. contributed to open-source projects (added components to chakra ui library). ui/ux head at college tech fest â€“ redesigned official website (40% faster load time). skills: react.js, next.js, typescript, tailwind css, figma.",real
stu_126,frontend developer | react.js visionary | ui/ux award winner,"an innovative frontend developer with mastery in react, redux, and responsive design principles. developed a real-time college event portal using react, firebase, and material-ui, and earned 'best ui/ux' at hackthenorth for an accessibility-centric web application. open-source contributor to chakra ui and ui/ux head at college tech fest, revamping the official website for a 40% speed boost. skilled in react.js, next.js, typescript, tailwind css, and figma.",fake
stu_127,data science & machine learning engineer,"data science graduate with strong python, ml, and statistical modeling skills. built a stock price prediction model (lstm) with 92% accuracy (capstone project). top 10% in kaggleâ€™s titanic ml competition (feature engineering & hyperparameter tuning). research paper on 'predictive analysis in healthcare' published in springer conf. data science club lead â€“ conducted workshops on pandas & scikit-learn. skills: python, tensorflow, sql, tableau, aws sagemaker.",real
stu_128,data science engineer | predictive analytics expert | ml competition finalist,"a results-driven data science & machine learning engineer with advanced proficiency in python, ml, and statistical modeling. developed a high-accuracy lstm stock price predictor (92%), ranked top 10% in kaggleâ€™s titanic competition, and published healthcare analytics research in springer conference. led the data science club, delivering workshops on pandas and scikit-learn. skilled in python, tensorflow, sql, tableau, and aws sagemaker.",fake
stu_129,devops & cloud engineer (aws),"cloud enthusiast with hands-on experience in aws, ci/cd, and infrastructure automation. automated college website deployment using jenkins, docker, and aws ec2. microsoft imagine cup semifinalist â€“ built a scalable cloud-based attendance system. set up monitoring with prometheus & grafana for lab servers. linux club president â€“ conducted docker & kubernetes workshops. certifications: aws certified cloud practitioner, docker certified associate.",real
stu_130,devops & cloud engineer | aws automation specialist | cloud-native innovator,"a passionate devops & cloud engineer with expertise in aws, ci/cd, and infrastructure automation. automated college website deployment using jenkins, docker, and aws ec2, and reached microsoft imagine cup semifinals for a scalable cloud attendance system. implemented prometheus & grafana monitoring and led linux club as president, orchestrating docker & kubernetes workshops. certified aws cloud practitioner and docker associate.",fake
stu_131,cybersecurity & ethical hacking graduate,"security-focused graduate with experience in penetration testing & secure coding. developed a blockchain-based secure voting system (capstone project). winner of national cyber olympiad (ethical hacking track). interned at local it firm â€“ performed vulnerability assessments. published a security audit report on college network infrastructure. certifications: ceh, comptia security+.",real
stu_132,cybersecurity specialist | ethical hacking champion | blockchain security innovator,"a dedicated cybersecurity & ethical hacking professional with expertise in penetration testing and secure coding. developed a blockchain-based secure voting system, won the national cyber olympiad (ethical hacking track), and interned at a leading it firm performing vulnerability assessments. published a comprehensive security audit report on college infrastructure. holds ceh and comptia security+ certifications.",fake
stu_133,full-stack developer (mern stack),"full-stack developer proficient in node.js, express, and mongodb. built a real-time chat app using socket.io, react, and node.js. hackathon winner â€“ developed a mern-based job portal with ai resume screening. contributed to open-source (fixed bugs in express.js middleware). backend lead for college tech fest â€“ optimized api response time by 30%. skills: mern stack, graphql, firebase, jwt auth.",real
stu_134,full-stack developer | mern stack innovator | hackathon champion,"a versatile full-stack developer with advanced skills in node.js, express, and mongodb. engineered a real-time chat application with socket.io and react, and won a hackathon for a mern-based job portal featuring ai resume screening. active open-source contributor and backend lead at college tech fest, achieving a 30% api response time improvement. proficient in mern stack, graphql, firebase, and jwt auth.",fake
stu_135,ai/ml & computer vision engineer,"ai graduate with expertise in deep learning, nlp, and computer vision. developed a cnn-based waste classification model (85% accuracy). google ai hackathon'22 finalist â€“ built a face recognition attendance system. research paper on 'transfer learning for medical imaging' (ieee conf.). ai club core member â€“ trained models for college robotics team. skills: python, tensorflow, opencv, pytorch.",real
stu_136,ai/ml engineer | computer vision specialist | hackathon finalist,"a highly skilled ai/ml & computer vision engineer with deep expertise in deep learning, nlp, and computer vision. developed an 85% accurate cnn waste classifier, finalist at google ai hackathon'22 for a face recognition attendance system, and published research on transfer learning for medical imaging (ieee). ai club core member, training robotics team models. proficient in python, tensorflow, opencv, and pytorch.",fake
stu_137,mobile app developer (flutter),"flutter developer with a passion for cross-platform app development. created a campus navigation app with ar features (500+ downloads). winner of 'best ui/ux' at state-level hackathon for a mental health app. published flutter tutorials on medium (5k+ reads). google dsc member â€“ conducted 3 flutter workshops. skills: flutter, dart, firebase, figma.",real
stu_138,mobile app developer | flutter specialist | ui/ux hackathon winner,"a passionate mobile app developer specializing in cross-platform flutter development. created a campus navigation app with ar features (500+ downloads) and won 'best ui/ux' at a state hackathon for a mental health app. published popular flutter tutorials (5k+ reads) and led 3 google dsc workshops. skilled in flutter, dart, firebase, and figma.",fake
stu_139,blockchain & web3 developer,"blockchain enthusiast with hands-on solidity and smart contract development experience. built a certificate verification system on ethereum (capstone project). research paper on 'nfts in digital identity' (university-funded project). founder of blockchain club â€“ conducted solidity workshops. developed a dao prototype for student council elections. skills: solidity, web3.js, hardhat, ipfs.",real
stu_140,blockchain developer | web3 innovator | smart contract specialist,"a forward-thinking blockchain & web3 developer with hands-on experience in solidity and smart contracts. developed a certificate verification system on ethereum and authored a research paper on nfts in digital identity. founded the blockchain club, delivering solidity workshops, and developed a dao prototype for student council elections. proficient in solidity, web3.js, hardhat, and ipfs.",fake
stu_141,iot & embedded systems engineer,"iot graduate with experience in raspberry pi, arduino, and sensor networks. developed a smart energy-saving system for campus labs (iot project). national runner-up in iot hackathon (smart agriculture solution). research paper on 'edge computing for iot devices.' robotics club core member â€“ built autonomous delivery bot. skills: embedded c, python, mqtt, raspberry pi.",real
