user_id,headline,bio,label
stu_023,QA Lead | Automation & Agile Testing,"QA Lead with extensive experience in Agile testing, test automation, and release management. Skilled in Selenium, Java, and web application testing. Strong background in healthcare, retail, and finance projects.",real
stu_024,QA Automation Leader | Agile Testing & Quality Excellence,"A QA Automation Leader with a proven track record in Agile testing, test automation, and release management. Expert in Selenium, Java, and web application testing, delivering quality solutions for healthcare, retail, and finance industries. Renowned for driving testing excellence and continuous improvement.",fake
stu_025,Scrum Master | Agile Project Delivery,"Scrum Master with expertise in Agile methodologies, sprint planning, backlog grooming, and team facilitation. Experienced in healthcare, finance, and e-commerce projects. Skilled in Jira, Rally, and Agile metrics.",real
stu_026,Transformative Scrum Master | Agile Delivery & Team Empowerment,"A transformative Scrum Master with expertise in Agile methodologies, sprint planning, backlog grooming, and team facilitation. Adept at leveraging Jira, Rally, and Agile metrics to empower teams and deliver outstanding results in healthcare, finance, and e-commerce domains.",fake
stu_027,IT Business Analyst | Requirements & Process Improvement,"IT Business Analyst with experience gathering requirements, process mapping, and supporting project delivery in insurance and healthcare. Skilled in stakeholder communication, documentation, and workflow analysis.",real
stu_028,Strategic IT Business Analyst | Process Optimization & Stakeholder Engagement,"A strategic IT Business Analyst with a strong background in requirements gathering, process mapping, and project delivery for insurance and healthcare sectors. Expert in stakeholder communication, comprehensive documentation, and workflow optimization to drive business value.",fake
stu_029,Data Analyst | SQL & Visualization,"Data Analyst skilled in SQL, Excel, and data visualization tools. Experienced in preparing reports, analyzing trends, and supporting business decisions for retail and logistics companies.",real
stu_030,Analytical Data Analyst | Business Intelligence & Data Visualization,"An analytical Data Analyst with expertise in SQL, Excel, and advanced data visualization tools. Proven ability to prepare insightful reports, analyze complex trends, and support strategic business decisions in retail and logistics environments.",fake
stu_031,Network Engineer | Cisco & Security,"Network Engineer with hands-on experience in Cisco routing, switching, and firewall configuration. Skilled in troubleshooting, network monitoring, and implementing security protocols for enterprise environments.",real
stu_032,Expert Network Engineer | Advanced Cisco Solutions & Security,"An expert Network Engineer with comprehensive hands-on experience in Cisco routing, switching, and firewall configuration. Renowned for troubleshooting complex network issues, proactive network monitoring, and implementing robust security protocols in enterprise environments.",fake
stu_033,Cloud Solutions Architect | AWS & Azure,"Cloud Solutions Architect with experience designing and deploying solutions on AWS and Azure. Skilled in migration, automation, and cost optimization for enterprise clients.",real
stu_034,Innovative Cloud Solutions Architect | AWS & Azure Transformation,"An innovative Cloud Solutions Architect with a proven track record in designing and deploying scalable solutions on AWS and Azure. Expert in cloud migration, automation, and cost optimization, delivering transformative results for enterprise clients.",fake
stu_035,DevOps Engineer | CI/CD & Automation,"DevOps Engineer experienced in CI/CD pipelines, automation scripting, and infrastructure as code. Skilled in Jenkins, Docker, and Kubernetes for continuous integration and deployment.",real
stu_036,DevOps Automation Specialist | CI/CD Pipeline Excellence,"A DevOps Automation Specialist with extensive experience in building CI/CD pipelines, automation scripting, and infrastructure as code. Expert in Jenkins, Docker, and Kubernetes, driving continuous integration and deployment excellence.",fake
stu_037,UI/UX Designer | User-Centered Design,"UI/UX Designer with a focus on user-centered design, wireframing, and prototyping. Skilled in Adobe XD, Figma, and usability testing for web and mobile applications.",real
stu_038,Creative UI/UX Designer | Innovative User Experience Solutions,"A creative UI/UX Designer specializing in user-centered design, wireframing, and high-fidelity prototyping. Expert in Adobe XD, Figma, and conducting comprehensive usability testing for web and mobile platforms, delivering innovative user experiences.",fake
stu_039,Mobile App Developer | Android & iOS,"Mobile App Developer with experience building native Android and iOS applications. Skilled in Java, Kotlin, Swift, and app store deployment.",real
stu_040,Mobile Application Innovator | Android & iOS Excellence,"A Mobile Application Innovator with a strong background in developing native Android and iOS apps. Proficient in Java, Kotlin, Swift, and expert in seamless app store deployment, delivering high-quality mobile solutions.",fake
stu_041,Database Administrator | Oracle & SQL Server,"Database Administrator with experience managing Oracle and SQL Server databases. Skilled in backup, recovery, performance tuning, and security management.",real
stu_042,Expert Database Administrator | Oracle & SQL Server Optimization,"An expert Database Administrator with proven experience managing Oracle and SQL Server environments. Renowned for backup and recovery strategies, advanced performance tuning, and robust security management to ensure data integrity.",fake
stu_043,Systems Analyst | Business Process Improvement,"Systems Analyst with experience in business process improvement, requirements gathering, and documentation. Skilled in workflow analysis, stakeholder communication, and supporting IT project delivery in healthcare and insurance domains.",real
stu_044,Expert Systems Analyst | Business Process Optimization & Stakeholder Engagement,"An expert Systems Analyst with a strong background in business process improvement, requirements gathering, and comprehensive documentation. Renowned for workflow analysis, effective stakeholder communication, and delivering IT project success in healthcare and insurance sectors.",fake
stu_045,Front-End Developer | React & JavaScript,"Front-End Developer skilled in building responsive web applications using React, JavaScript, HTML5, and CSS3. Experienced in UI/UX best practices and cross-browser compatibility.",real
stu_046,Innovative Front-End Developer | React & UI/UX Excellence,"An innovative Front-End Developer with expertise in crafting responsive web applications using React, JavaScript, HTML5, and CSS3. Recognized for applying UI/UX best practices and ensuring seamless cross-browser compatibility for optimal user experience.",fake
stu_047,Back-End Developer | Python & APIs,"Back-End Developer experienced in Python, Django, and building RESTful APIs. Skilled in database design, performance optimization, and server-side scripting for scalable applications.",real
stu_048,"Advanced Back-End Developer | Python, Django & API Solutions","An advanced Back-End Developer with proven experience in Python, Django, and developing robust RESTful APIs. Expert in database design, performance optimization, and scalable server-side scripting for high-performance applications.",fake
stu_049,IT Support Specialist | Troubleshooting & Help Desk,"IT Support Specialist with experience in troubleshooting hardware and software issues, providing help desk support, and maintaining user accounts in Windows and Linux environments.",real
stu_050,Dedicated IT Support Specialist | Technical Troubleshooting & User Support,"A dedicated IT Support Specialist with extensive experience in troubleshooting complex hardware and software issues, delivering exceptional help desk support, and managing user accounts in both Windows and Linux environments.",fake
stu_051,Cybersecurity Analyst | Threat Detection & Response,"Cybersecurity Analyst with experience in monitoring security alerts, incident response, and vulnerability assessment. Skilled in SIEM tools, firewalls, and network security protocols.",real
stu_052,Cybersecurity Analyst | Advanced Threat Detection & Incident Response,"A cybersecurity analyst with expertise in monitoring security alerts, leading incident response, and conducting comprehensive vulnerability assessments. Skilled in SIEM tools, firewalls, and implementing advanced network security protocols.",fake
stu_053,Product Manager | Agile & Product Lifecycle,"Product Manager experienced in Agile methodologies, product lifecycle management, and cross-functional team leadership. Skilled in market research, roadmap planning, and go-to-market strategies.",real
stu_054,Strategic Product Manager | Agile Product Lifecycle & Market Leadership,"A strategic Product Manager with expertise in Agile methodologies, end-to-end product lifecycle management, and leading cross-functional teams. Renowned for market research, roadmap planning, and executing impactful go-to-market strategies.",fake
stu_055,Content Writer | SEO & Digital Marketing,"Content Writer with experience creating SEO-optimized articles, blog posts, and web content. Skilled in keyword research, content strategy, and social media marketing.",real
stu_056,Creative Content Writer | SEO & Digital Marketing Excellence,"A creative Content Writer with a proven track record in crafting SEO-optimized articles, engaging blog posts, and high-impact web content. Expert in keyword research, content strategy, and driving results through social media marketing.",fake
stu_057,Graphic Designer | Adobe Creative Suite,"Graphic Designer skilled in Adobe Photoshop, Illustrator, and InDesign. Experienced in branding, print design, and digital graphics for marketing campaigns.",real
stu_058,Talented Graphic Designer | Creative Branding & Digital Design,"A talented Graphic Designer with expertise in Adobe Photoshop, Illustrator, and InDesign. Renowned for creative branding, print design, and producing compelling digital graphics for successful marketing campaigns.",fake
stu_059,HR Manager | Recruitment & Employee Relations,"HR Manager with experience in recruitment, onboarding, and employee relations. Skilled in policy development, conflict resolution, and performance management.",real
stu_060,Strategic HR Manager | Talent Acquisition & Employee Engagement,"A strategic HR Manager with expertise in recruitment, onboarding, and fostering positive employee relations. Demonstrates excellence in policy development, conflict resolution, and driving effective performance management initiatives.",fake
stu_061,Financial Analyst | Excel & Financial Modeling,"Financial Analyst experienced in financial modeling, budgeting, and variance analysis. Skilled in Excel, forecasting, and preparing management reports for decision-making.",real
stu_062,Analytical Financial Analyst | Advanced Modeling & Strategic Reporting,"An analytical Financial Analyst with expertise in financial modeling, budgeting, and variance analysis. Proficient in Excel, forecasting, and delivering strategic management reports to support executive decision-making.",fake
stu_063,IT Auditor | Risk & Compliance,"IT Auditor experienced in risk assessment, compliance audits, and internal controls. Skilled in SOX, ITGC, and preparing audit reports for management. Background in banking and financial services.",real
stu_064,Expert IT Auditor | Risk Management & Compliance Excellence,"An expert IT Auditor with proven experience in risk assessment, compliance audits, and implementing robust internal controls. Renowned for SOX and ITGC proficiency, delivering comprehensive audit reports and ensuring regulatory compliance in banking and financial services.",fake
stu_065,Operations Manager | Process Optimization,"Operations Manager with experience in process optimization, team leadership, and workflow improvement. Skilled in resource allocation, KPI tracking, and cross-functional collaboration.",real
stu_066,Strategic Operations Manager | Process Excellence & Team Leadership,"A strategic Operations Manager with a strong background in process optimization, leading high-performing teams, and driving workflow improvements. Expert in resource allocation, KPI tracking, and fostering cross-functional collaboration for operational success.",fake
stu_067,Marketing Manager | Digital Campaigns & Branding,"Marketing Manager experienced in digital campaigns, branding, and market analysis. Skilled in content creation, SEO, and managing cross-channel marketing strategies.",real
stu_068,Innovative Marketing Manager | Digital Strategy & Brand Leadership,"An innovative Marketing Manager with expertise in digital campaign management, strategic branding, and in-depth market analysis. Renowned for content creation, SEO mastery, and executing cross-channel marketing strategies that drive brand growth.",fake
stu_069,Supply Chain Analyst | Logistics & Inventory,"Supply Chain Analyst with experience in logistics, inventory management, and demand forecasting. Skilled in ERP systems, data analysis, and process improvement.",real
stu_070,Supply Chain Analyst | Logistics Optimization & Data-Driven Solutions,"A Supply Chain Analyst with proven expertise in logistics, inventory management, and accurate demand forecasting. Expert in ERP systems, advanced data analysis, and implementing process improvements to optimize supply chain efficiency.",fake
stu_071,Customer Success Manager | SaaS & Client Relations,"Customer Success Manager with experience supporting SaaS clients, onboarding, and ensuring customer satisfaction. Skilled in account management, issue resolution, and product training.",real
stu_072,Customer Success Leader | SaaS Client Engagement & Retention,"A Customer Success Leader with a track record of supporting SaaS clients, delivering seamless onboarding, and maximizing customer satisfaction. Expert in account management, proactive issue resolution, and providing impactful product training to drive client retention.",fake
stu_073,E-commerce Manager | Online Sales & Merchandising,"E-commerce Manager with experience in online sales, merchandising, and digital marketing. Skilled in platform management, analytics, and conversion optimization.",real
stu_074,Results-Driven E-commerce Manager | Digital Sales & Merchandising Excellence,"A results-driven E-commerce Manager with expertise in online sales, strategic merchandising, and digital marketing. Renowned for platform management, data analytics, and implementing conversion optimization strategies for revenue growth.",fake
stu_075,Legal Counsel | Corporate & Contract Law,"Legal Counsel experienced in corporate law, contract drafting, and regulatory compliance. Skilled in legal research, negotiation, and advising business units.",real
stu_076,Distinguished Legal Counsel | Corporate Law & Regulatory Compliance,"A distinguished Legal Counsel with expertise in corporate law, contract drafting, and ensuring regulatory compliance. Renowned for legal research, negotiation skills, and providing strategic advice to business units.",fake
stu_077,Data Scientist | Machine Learning & Analytics,"Data Scientist experienced in machine learning, predictive modeling, and data analytics. Skilled in Python, R, and data visualization tools for actionable insights.",real
stu_078,Data Science Expert | Advanced Machine Learning & Predictive Analytics,"A Data Science Expert with extensive experience in machine learning, predictive modeling, and advanced data analytics. Expert in Python, R, and leveraging data visualization tools to deliver actionable business insights.",fake
stu_079,Research Analyst | Market & Competitive Intelligence,"Research Analyst with experience in market research, competitive analysis, and report writing. Skilled in data collection, trend analysis, and presenting findings to stakeholders.",real
stu_080,Research Analyst | Market Intelligence & Strategic Insights,"A Research Analyst with a strong background in market research, competitive intelligence, and comprehensive report writing. Expert in data collection, trend analysis, and delivering strategic insights to key stakeholders.",fake
stu_081,Administrative Assistant | Office Management,"Administrative Assistant experienced in office management, scheduling, and document preparation. Skilled in calendar coordination, travel planning, and supporting executives.",real
stu_082,Efficient Administrative Assistant | Office Operations & Executive Support,"An efficient Administrative Assistant with expertise in office management, scheduling, and preparing professional documents. Renowned for calendar coordination, travel planning, and providing exceptional support to executives.",fake
stu_083,IT Trainer | Technical Instruction & Curriculum Design,"IT Trainer experienced in delivering technical training sessions, developing curriculum, and assessing learning outcomes. Skilled in classroom and online instruction for diverse audiences.",real
stu_084,Expert IT Trainer | Advanced Technical Instruction & Learning Solutions,"An expert IT Trainer with a proven record in delivering impactful technical training, designing comprehensive curricula, and assessing learning outcomes. Renowned for classroom and online instruction, adapting to diverse audiences and maximizing knowledge transfer.",fake
stu_085,Quality Assurance Engineer | Manual & Automated Testing,"Quality Assurance Engineer with experience in manual and automated testing, bug tracking, and test case development. Skilled in Selenium, Jira, and regression testing for software applications.",real
stu_086,Advanced QA Engineer | Automated Testing & Quality Excellence,"An advanced Quality Assurance Engineer with expertise in manual and automated testing, bug tracking, and test case development. Expert in Selenium, Jira, and executing comprehensive regression tests to ensure software quality.",fake
stu_087,Technical Writer | Documentation & User Guides,"Technical Writer experienced in creating user manuals, technical documentation, and process guides. Skilled in editing, formatting, and collaborating with subject matter experts.",real
stu_088,Technical Writing Specialist | Documentation Excellence & User Enablement,"A Technical Writing Specialist with a strong background in developing user manuals, technical documentation, and process guides. Renowned for editing, formatting, and collaborating with subject matter experts to deliver clear and effective documentation.",fake
stu_089,Sales Manager | B2B & Account Management,"Sales Manager with experience in B2B sales, account management, and lead generation. Skilled in negotiation, client relationship building, and achieving sales targets.",real
stu_090,Strategic Sales Manager | B2B Solutions & Account Leadership,"A Strategic Sales Manager with proven expertise in B2B sales, account management, and lead generation. Expert negotiator, adept at building strong client relationships and consistently exceeding sales targets.",fake
stu_091,Procurement Specialist | Vendor Management & Sourcing,"Procurement Specialist experienced in vendor management, sourcing, and contract negotiation. Skilled in purchase order processing, supplier evaluation, and cost control.",real
stu_092,Procurement Specialist | Vendor Relations & Strategic Sourcing,"A Procurement Specialist with a strong background in vendor management, strategic sourcing, and contract negotiation. Renowned for efficient purchase order processing, supplier evaluation, and driving cost control initiatives.",fake
stu_093,Logistics Coordinator | Shipping & Inventory,"Logistics Coordinator with experience in shipping coordination, inventory management, and order fulfillment. Skilled in warehouse operations, transportation scheduling, and tracking shipments.",real
stu_094,Logistics Coordinator | Supply Chain Optimization & Inventory Excellence,"A Logistics Coordinator with expertise in shipping coordination, inventory management, and order fulfillment. Recognized for optimizing warehouse operations, transportation scheduling, and ensuring timely shipment tracking.",fake
stu_095,Event Planner | Corporate & Social Events,"Event Planner experienced in organizing corporate and social events, vendor coordination, and budget management. Skilled in event logistics, marketing, and client communication.",real
stu_096,Creative Event Planner | Corporate Event Excellence & Social Engagement,"A Creative Event Planner with a track record of organizing corporate and social events, managing vendor relationships, and overseeing budgets. Expert in event logistics, marketing strategies, and delivering exceptional client experiences.",fake
stu_097,Data Entry Specialist | Accuracy & Speed,"Data Entry Specialist with experience in data input, database management, and quality control. Skilled in maintaining accuracy, meeting deadlines, and handling confidential information.",real
stu_098,Data Entry Specialist | Data Integrity & Process Efficiency,"A Data Entry Specialist with proven expertise in data input, database management, and quality control. Renowned for accuracy, meeting tight deadlines, and handling confidential information with utmost professionalism.",fake
stu_099,Customer Service Representative | Call Center & Support,"Customer Service Representative experienced in call center operations, customer support, and issue resolution. Skilled in communication, CRM systems, and handling high call volumes.",real
stu_100,Customer Service Professional | Call Center Excellence & Client Satisfaction,"A Customer Service Professional with extensive experience in call center operations, customer support, and effective issue resolution. Expert communicator, adept at using CRM systems and managing high call volumes to ensure client satisfaction.",fake
stu_101,Facilities Manager | Building Operations & Maintenance,"Facilities Manager with experience in building operations, maintenance scheduling, and vendor management. Skilled in safety compliance, budgeting, and supervising maintenance staff.",real
stu_102,Facilities Manager | Operational Excellence & Maintenance Leadership,"A Facilities Manager with a strong background in building operations, maintenance scheduling, and vendor management. Renowned for ensuring safety compliance, effective budgeting, and leading maintenance teams to operational excellence.",fake
stu_103,Java Full Stack Developer (Entry-Level),"Recent Computer Science graduate with hands-on experience in Spring Boot, Hibernate, and Angular. Built e-commerce platform capstone project using REST APIs. Completed Oracle Java SE certification.",real
stu_104,Java Full Stack Developer | Spring Boot Expert | Cloud-Ready Solutions,"A dynamic and results-driven Java Full Stack Developer with cutting-edge expertise in Spring Boot, Hibernate, and Angular frameworks. Demonstrated ability to architect innovative e-commerce solutions leveraging REST APIs and microservices. Certified Oracle Java SE professional committed to delivering scalable cloud-native applications.",fake
stu_105,QA Automation Engineer (Fresher),Software Testing graduate with Selenium WebDriver experience. Developed automated test scripts for web applications. ISTQB Foundation Level certified.,real
stu_106,QA Automation Engineer | Test Excellence Champion | CI/CD Specialist,A highly motivated QA professional with advanced expertise in Selenium WebDriver and TestNG frameworks. Proven track record of implementing robust automated testing solutions within CI/CD pipelines. ISTQB-certified engineer passionate about quality assurance best practices.,fake
stu_107,Business Analyst Trainee,Management Information Systems graduate skilled in requirements gathering and UML. Developed business requirements documents for academic case studies. ECBA certified.,real
stu_108,Business Analyst | Agile Transformation Leader | Process Optimization Expert,An analytical Business Analyst with exceptional skills in Agile methodologies and process modeling. ECBA-certified professional renowned for transforming business requirements into strategic solutions through innovative UML modeling.,fake
stu_109,DevOps Engineering Graduate,Computer Engineering graduate with AWS and Docker experience. Built CI/CD pipeline for academic project. AWS Cloud Practitioner certified.,real
stu_110,DevOps Engineer | Cloud Infrastructure Architect | Automation Specialist,A visionary DevOps Engineer with extensive expertise in AWS cloud solutions and Kubernetes orchestration. AWS Cloud Practitioner certified professional delivering cutting-edge CI/CD pipelines and infrastructure automation.,fake
stu_111,Web Services Developer (Entry-Level),Computer Science graduate with REST/SOAP web services experience. Developed campus API gateway project. IBM Cloud Essentials certified.,real
stu_112,Web Services Developer | API Security Specialist | Microservices Expert,"An innovative API developer with proven expertise in REST/SOAP web services and microservices architecture. IBM-certified professional delivering secure, scalable API solutions for enterprise environments.",fake
stu_113,Mobile App Developer (iOS/Android),Software Engineering graduate with 3 Flutter/React Native apps. Published campus navigation app. Google Flutter Development certified.,real
stu_114,Mobile App Developer | Cross-Platform Innovator | Play Store Published,A passionate mobile developer with exceptional skills in Flutter and React Native. Google-certified professional delivering user-centric mobile solutions with Play Store deployment expertise.,fake
stu_115,Data Science Graduate,Computer Science graduate with Python machine learning projects. Developed student performance prediction model. IBM Data Science Professional certified.,real
stu_116,Data Science Engineer | Predictive Analytics Expert | ML Solutions Architect,A data-driven professional with advanced machine learning expertise using Python and scikit-learn. IBM-certified data scientist delivering transformative predictive models and analytics solutions.,fake
stu_117,Cybersecurity Trainee,Information Security graduate with Kali Linux experience. Built network security monitoring tool. EC-Council CEH fundamentals certified.,real
stu_118,Cybersecurity Specialist | Ethical Hacking Expert | Network Defense Pro,A security-focused professional with comprehensive penetration testing skills using Kali Linux. EC-Council certified ethical hacker delivering robust network defense solutions.,fake
stu_119,UI/Developer Hybrid,Computer Applications graduate combining React.js with UX design. Built portfolio showcasing design-system implementation. Google UX Design certified.,real
stu_120,UI/UX Architect | Frontend Development Expert | Design System Innovator,"A creative hybrid developer with unparalleled expertise in React.js and user experience design. Google-certified professional delivering pixel-perfect, accessibility-focused web solutions.",fake
stu_121,Cloud Developer Trainee,IT graduate with AWS serverless experience. Developed auto-scaling e-learning platform. AWS Solutions Architect Associate candidate.,real
stu_122,Cloud Solutions Engineer | Serverless Architecture Expert | AWS Specialist,An AWS-focused cloud developer with exceptional serverless architecture skills. Solutions Architect Associate candidate delivering auto-scaling cloud-native applications.,fake
stu_123,Java Backend Developer (Spring Boot),"Passionate Java developer with hands-on experience in Spring Boot, Hibernate, and REST APIs from academic projects. Built a student management system using Spring MVC, JPA, and MySQL (handled 10K+ records). Won 2nd place in CodeStorm Hackathon for developing a microservices-based e-commerce API. Published a paper on 'Optimizing Database Queries in Spring Boot' in IEEE Student Journal. Technical Lead of collegeâ€™s Coding Club â€“ organized workshops on Spring Security. Skills: Java 8+, Spring Boot, Hibernate, REST, PostgreSQL, Docker.",real
stu_124,Java Backend Developer | Spring Boot Innovator | Award-Winning API Architect,"A highly motivated Java Backend Developer with advanced expertise in Spring Boot, Hibernate, and RESTful APIs. Architected a robust student management system (10,000+ records) and secured 2nd place at CodeStorm Hackathon for a microservices e-commerce API. Published research in IEEE Student Journal and served as Technical Lead for the Coding Club, orchestrating workshops on Spring Security. Proficient in Java 8+, Spring Boot, Hibernate, REST, PostgreSQL, and Docker.",fake
stu_125,Frontend Developer (React.js),"Creative frontend developer with expertise in React, Redux, and responsive design. Developed a college event portal with real-time updates using React, Firebase, and Material-UI. Winner of 'Best UI/UX' at HackTheNorth for an accessibility-focused web app. Contributed to open-source projects (added components to Chakra UI library). UI/UX Head at college tech fest â€“ redesigned official website (40% faster load time). Skills: React.js, Next.js, TypeScript, Tailwind CSS, Figma.",real
stu_126,Frontend Developer | React.js Visionary | UI/UX Award Winner,"An innovative frontend developer with mastery in React, Redux, and responsive design principles. Developed a real-time college event portal using React, Firebase, and Material-UI, and earned 'Best UI/UX' at HackTheNorth for an accessibility-centric web application. Open-source contributor to Chakra UI and UI/UX Head at college tech fest, revamping the official website for a 40% speed boost. Skilled in React.js, Next.js, TypeScript, Tailwind CSS, and Figma.",fake
stu_127,Data Science & Machine Learning Engineer,"Data science graduate with strong Python, ML, and statistical modeling skills. Built a stock price prediction model (LSTM) with 92% accuracy (capstone project). Top 10% in Kaggleâ€™s Titanic ML competition (feature engineering & hyperparameter tuning). Research paper on 'Predictive Analysis in Healthcare' published in Springer Conf. Data Science Club Lead â€“ conducted workshops on Pandas & Scikit-learn. Skills: Python, TensorFlow, SQL, Tableau, AWS SageMaker.",real
